Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2013,57,101218,101218,118-122 Bourke Street,Melbourne (CBD),Fireflies Club,72,144.969548,-37.81207418,"(-37.81207418, 144.969548)"
2011,66,105694,105694,233-237 Lonsdale Street,Melbourne (CBD),The Emerald Peacock,300,144.9655481,-37.81158031,"(-37.81158031, 144.9655481)"
2013,13,106435,106435,21-31 Market Street,Melbourne (CBD),The Trust,350,144.9604206,-37.81864585,"(-37.81864585, 144.9604206)"
2013,14,103946,103946,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,100,144.9638507,-37.81763918,"(-37.81763918, 144.9638507)"
2016,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),The Joint Bar,329,144.9643316,-37.81741878,"(-37.81741878, 144.9643316)"
2016,66,105694,105694,233-237 Lonsdale Street,Melbourne (CBD),The Emerald Peacock,300,144.9655481,-37.81158031,"(-37.81158031, 144.9655481)"
2013,37,102157,102157,90-98 Collins Street,Melbourne (CBD),Massoni Wine Bar ,112,144.9702813,-37.8139675,"(-37.8139675, 144.9702813)"
2013,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Fashion Lounge,350,144.9705132,-37.81567009,"(-37.81567009, 144.9705132)"
2013,46,105963,105963,196-212 Little Collins Street,Melbourne (CBD),Hairy Canary,50,144.9671568,-37.81384227,"(-37.81384227, 144.9671568)"
2013,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,414,144.9681892,-37.81367486,"(-37.81367486, 144.9681892)"
2011,33,108064,108064,85-91 Queen Street,Melbourne (CBD),Element Lounge,230,144.9610213,-37.81649711,"(-37.81649711, 144.9610213)"
2013,17,103592,103592,11-37 Exhibition Street,Melbourne (CBD),The Fair Trader ,118,144.9717262,-37.81546152,"(-37.81546152, 144.9717262)"
2011,12,105401,105401,14-20 King Street,Melbourne (CBD),Tramp Bar,200,144.9577148,-37.81977635,"(-37.81977635, 144.9577148)"
2011,11,108971,108971,561-585 Flinders Lane,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,144.9551524,-37.82020482,"(-37.82020482, 144.9551524)"
2013,16,104020,104020,150-162 Flinders Street,Melbourne (CBD),Forum Theatre Bar,1500,144.9693866,-37.81648541,"(-37.81648541, 144.9693866)"
2013,270,104468,104468,156-292 Grattan Street,Parkville,HJC Bar,200,144.9612468,-37.79739836,"(-37.79739836, 144.9612468)"
2016,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,239,144.9657541,-37.79725532,"(-37.79725532, 144.9657541)"
2013,17,103928,103928,133-135 Flinders Lane,Melbourne (CBD),Meat Ball,110,144.9701585,-37.81573536,"(-37.81573536, 144.9701585)"
2011,56,101207,101207,184-186 Bourke Street,Melbourne (CBD),Hollywood Karaoke Bar,204,144.9676888,-37.81267583,"(-37.81267583, 144.9676888)"
2011,95,109314,109314,401-405 Swanston Street,Melbourne (CBD),Red Love,200,144.963217,-37.80904283,"(-37.80904283, 144.963217)"
2011,105,103301,103301,442-450 Elizabeth Street,Melbourne (CBD),Fluid Oz Bar ,365,144.9608588,-37.8083077,"(-37.8083077, 144.9608588)"
2011,33,105934,105934,429 Little Collins Street,Melbourne (CBD),Cafe De Tuscany,117,144.960452,-37.8162783,"(-37.8162783, 144.960452)"
2011,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),The Toff In Town,345,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2011,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Rooftop Bar & Cinema,200,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2016,260,103276,103276,614-616 Elizabeth Street,Carlton,The Last Jar,250,144.9589387,-37.80389369,"(-37.80389369, 144.9589387)"
2011,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Cookie,300,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2011,74,106018,106018,395-397 Little Lonsdale Street,Melbourne (CBD),Horse Bazaar,158,144.9602499,-37.81190077,"(-37.81190077, 144.9602499)"
2011,760,108642,108642,497-503 St Kilda Road,Melbourne (Remainder),Rok's Cafe,150,144.9790762,-37.84331737,"(-37.84331737, 144.9790762)"
2011,17,104026,104026,104-112 Flinders Street,Melbourne (CBD),24 Moons,195,144.9711544,-37.81600001,"(-37.81600001, 144.9711544)"
2011,12,104824,104824,11A Highlander Lane,Melbourne (CBD),Highlander Bar,202,144.9579702,-37.81970334,"(-37.81970334, 144.9579702)"
2011,87,106059,106059,100 Little Lonsdale Street,Melbourne (CBD),Gami Chicken and Beer,73,144.9687195,-37.80913623,"(-37.80913623, 144.9687195)"
2013,66,109436,109436,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar,100,144.9653899,-37.81176167,"(-37.81176167, 144.9653899)"
2013,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),The Toff In Town,345,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2013,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Rooftop Cinema & Bar,200,144.9652504,-37.81199559,"(-37.81199559, 144.9652504)"
2011,435,107481,107481,65-67 Peel Street,West Melbourne (Residential),The Drunken Poet ,50,144.955498,-37.80666721,"(-37.80666721, 144.955498)"
2003,32,102117,102117,500-514 Collins Street,Melbourne (CBD),Menzies Tavern,250,144.9574732,-37.81753383,"(-37.81753383, 144.9574732)"
2016,218,106215,106215,298 Lygon Street,Carlton,Carlton Yacht Club Bar,46,144.9673764,-37.79998572,"(-37.79998572, 144.9673764)"
2016,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,111,144.9672432,-37.8005263,"(-37.8005263, 144.9672432)"
2013,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),The Joint,329,144.9643316,-37.81741878,"(-37.81741878, 144.9643316)"
2011,803,111175,110477,8 Whiteman Street,Southbank,CO,560,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,803,111175,110477,8 Whiteman Street,Southbank,Studio 3 ,900,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,753,110606,110380,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub & Side Bar,550,144.9662623,-37.82066923,"(-37.82066923, 144.9662623)"
2011,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Match Bar & Grill,360,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2011,11,103985,103985,562-564 Flinders Street,Melbourne (CBD),Bertha Brown,270,144.9556291,-37.82056934,"(-37.82056934, 144.9556291)"
2013,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,144.9581264,-37.80591439,"(-37.80591439, 144.9581264)"
2013,375,103810,103810,5-17 Flemington Road,North Melbourne,RMIT Village Old Melbourne,356,144.9558713,-37.80140031,"(-37.80140031, 144.9558713)"
2011,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Equinox Bar Restaurant,80,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2011,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Partyworld Karaoke,500,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2011,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transport Hotel,600,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2006,730,609329,110401,334-342 City Road,Southbank,Eve Bar Lounge,600,144.9573539,-37.82783816,"(-37.82783816, 144.9573539)"
2003,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,414,144.9681892,-37.81367486,"(-37.81367486, 144.9681892)"
2011,13,106435,106435,21-31 Market Street,Melbourne (CBD),The Trust,350,144.9604206,-37.81864585,"(-37.81864585, 144.9604206)"
2003,67,103605,103605,231-233 Exhibition Street,Melbourne (CBD),The Sen Bar,120,144.9695206,-37.81051104,"(-37.81051104, 144.9695206)"
2003,67,108581,108581,226-236 Russell Street,Melbourne (CBD),Mai Tai Restaurant,170,144.9676444,-37.81098272,"(-37.81098272, 144.9676444)"
2011,43,101152,101152,457-471 Bourke Street,Melbourne (CBD),High Fidelity,500,144.9601886,-37.81547268,"(-37.81547268, 144.9601886)"
2011,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Three Degrees,775,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2006,801,559161,559161,3-7 Riverside Quay,Southbank,Belgian Beer Cafe Eureka,638,144.9645668,-37.82166549,"(-37.82166549, 144.9645668)"
2011,62,105384,105384,204-208 King Street,Melbourne (CBD),Great Western Hotel,390,144.9554836,-37.81521196,"(-37.81521196, 144.9554836)"
2013,375,103809,103809,1-3 Flemington Road,North Melbourne,Turf Club Hotel ,629,144.9563792,-37.80130394,"(-37.80130394, 144.9563792)"
2011,753,598987,598987, Evan Walker Bridge,Southbank,Ponfish Island,150,144.9650858,-37.81968992,"(-37.81968992, 144.9650858)"
2013,95,109314,109314,401-405 Swanston Street,Melbourne (CBD),The Order of Melbourne,290,144.963217,-37.80904283,"(-37.80904283, 144.963217)"
2011,84,103207,103207,315-321 Elizabeth Street,Melbourne (CBD),The Meeting Place,250,144.9614724,-37.81124935,"(-37.81124935, 144.9614724)"
2011,218,106215,106215,298 Lygon Street,Carlton,Carlton Yacht Club Bar,60,144.9673764,-37.79998572,"(-37.79998572, 144.9673764)"
2011,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,111,144.9672432,-37.8005263,"(-37.8005263, 144.9672432)"
2011,861,102503,102503,161-173 Domain Road,South Yarra,Botanical Hotel,245,144.9816996,-37.83431735,"(-37.83431735, 144.9816996)"
2011,27,102064,102064,69-73 Collins Street,Melbourne (CBD),Cabana Club,180,144.9713489,-37.8143446,"(-37.8143446, 144.9713489)"
2013,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,144.9655966,-37.8166033,"(-37.8166033, 144.9655966)"
2011,2530,616160,616160,265-271 Racecourse Road,Kensington,The Quiet Man Irish Pub,400,144.9323559,-37.78860982,"(-37.78860982, 144.9323559)"
2011,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,239,144.9657541,-37.79725532,"(-37.79725532, 144.9657541)"
2003,48,101109,101109,39-43 Bourke Street,Melbourne (CBD),Spleen Central,100,144.9720472,-37.81193572,"(-37.81193572, 144.9720472)"
2011,375,103809,103809,1-3 Flemington Road,North Melbourne,Tufclub ,629,144.9563792,-37.80130394,"(-37.80130394, 144.9563792)"
2011,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transit Cocktail Lounge,200,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2011,104,103219,103219,413-417 Elizabeth Street,Melbourne (CBD),Workshop,230,144.9605226,-37.80918797,"(-37.80918797, 144.9605226)"
2011,803,111175,110477,8 Whiteman Street,Southbank,Lucky Chans,340,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,803,111175,110477,8 Whiteman Street,Southbank,Crown Casino,320,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,41,108966,108966,122-132 Spencer Street,Melbourne (CBD),Vibe Savoy Hotel Melbourne,40,144.9539293,-37.81777221,"(-37.81777221, 144.9539293)"
2008,217,103102,103102,171-175 Elgin Street,Carlton,Pugg Mahones,500,144.9687079,-37.79750574,"(-37.79750574, 144.9687079)"
2006,802,575820,575820,1-9 Freshwater Place,Southbank,BLVD Bar,562,144.962154,-37.82167834,"(-37.82167834, 144.962154)"
2006,803,111175,110477,8 Whiteman Street,Southbank,The Pub At Crown,300,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2006,803,111175,110477,8 Whiteman Street,Southbank,Fidel's Bar & Lounge,100,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2006,1101,108973,108973,93-161 Spencer Street,Docklands,Loco Bar,400,144.9523393,-37.81815358,"(-37.81815358, 144.9523393)"
2011,58,108986,108986,161 Spring Street,Melbourne (CBD),The European,703,144.9724291,-37.8109513,"(-37.8109513, 144.9724291)"
2011,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Hoyts Cinemas,300,144.9630189,-37.81073331,"(-37.81073331, 144.9630189)"
2011,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),M.O.O.,55,144.9631276,-37.81292437,"(-37.81292437, 144.9631276)"
2011,16,108532,108532,27-37 Russell Street,Melbourne (CBD),Ondergronds Pty Ltd,250,144.9692478,-37.81598754,"(-37.81598754, 144.9692478)"
2011,54,104653,104653,21-25 Hardware Lane,Melbourne (CBD),Campari House,326,144.9613142,-37.81409153,"(-37.81409153, 144.9613142)"
2013,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Legends Bar,250,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2011,72,110106,110106,263-267 William Street,Melbourne (CBD),Metropolitan Hotel,300,144.9565837,-37.81292397,"(-37.81292397, 144.9565837)"
2013,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Wonderland Karaoke,400,144.9668768,-37.81259409,"(-37.81259409, 144.9668768)"
2013,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),VS Sports Bar,80,144.9668768,-37.81259409,"(-37.81259409, 144.9668768)"
2011,23,106436,106436,54-60 Market Street,Melbourne (CBD),R2 Restaurant & Bar,370,144.9608283,-37.81778076,"(-37.81778076, 144.9608283)"
2011,23,106436,106436,54-60 Market Street,Melbourne (CBD),Alexis Restaurant,370,144.9608283,-37.81778076,"(-37.81778076, 144.9608283)"
2011,66,109436,109436,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar Pty Ltd,100,144.9653899,-37.81176167,"(-37.81176167, 144.9653899)"
2008,64,515538,515538,4-6 Goldie Place,Melbourne (CBD),The Paris Cat ,120,144.9608287,-37.81351769,"(-37.81351769, 144.9608287)"
2003,35,102141,102141,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,450,144.9645574,-37.81567229,"(-37.81567229, 144.9645574)"
2008,46,109413,109413,146 Swanston Street,Melbourne (CBD),Cabinet Bar ,100,144.9662039,-37.81417648,"(-37.81417648, 144.9662039)"
2011,16,104020,104020,150-162 Flinders Street,Melbourne (CBD),Forum Theatre Bar,1500,144.9693866,-37.81648541,"(-37.81648541, 144.9693866)"
2008,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,154,144.9645057,-37.80448528,"(-37.80448528, 144.9645057)"
2008,64,104659,104659,67-73 Hardware Lane,Melbourne (CBD),Charlie's Bar,143,144.960908,-37.81323451,"(-37.81323451, 144.960908)"
2011,48,110184,110184,27 Windsor Place,Melbourne (CBD),The Melbourne RSL,240,144.9724924,-37.81194657,"(-37.81194657, 144.9724924)"
2008,28,604143,102058,11 Collins Street,Melbourne (CBD),Recorded Music Salon,110,144.9734622,-37.81377997,"(-37.81377997, 144.9734622)"
2008,730,609329,110401,334-342 City Road,Southbank,Eve Bar Launge ,600,144.9573539,-37.82783816,"(-37.82783816, 144.9573539)"
2011,77,108573,108573,270 Russell Street,Melbourne (CBD),Chez Regine,90,144.9671591,-37.81011116,"(-37.81011116, 144.9671591)"
2013,87,106059,106059,100 Little Lonsdale Street,Melbourne (CBD),Gami Chicken and Beer,73,144.9687195,-37.80913623,"(-37.80913623, 144.9687195)"
2013,95,109314,109314,401-405 Swanston Street,Melbourne (CBD),Red Love,200,144.963217,-37.80904283,"(-37.80904283, 144.963217)"
2011,78,108991,108991,267-271 Spring Street,Melbourne (CBD),Elm's Family Hotel,200,144.9714481,-37.8086111,"(-37.8086111, 144.9714481)"
2011,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),The Joint,329,144.9643316,-37.81741878,"(-37.81741878, 144.9643316)"
2011,51,108963,108963,672-696 Bourke Street,Melbourne (CBD),Mail Exchange Hotel,600,144.9535902,-37.81663038,"(-37.81663038, 144.9535902)"
2013,47,101119,101119,137-141 Bourke Street,Melbourne (CBD),Levels Nightclub ,400,144.9691653,-37.81279907,"(-37.81279907, 144.9691653)"
2011,21,606461,606461,607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,1500,144.95469,-37.81929312,"(-37.81929312, 144.95469)"
2008,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),Money Order Office,55,144.9631276,-37.81292437,"(-37.81292437, 144.9631276)"
2013,17,574438,574438,84-94 Flinders Street,Melbourne (CBD),Eau-De-Vie ,150,144.9716757,-37.81587662,"(-37.81587662, 144.9716757)"
2006,801,559161,559161,3-7 Riverside Quay,Southbank,Eureka 89 Pty Ltd,150,144.9645668,-37.82166549,"(-37.82166549, 144.9645668)"
2008,801,559161,559161,3-7 Riverside Quay,Southbank,Eureka 89 Pty Ltd,150,144.9645668,-37.82166549,"(-37.82166549, 144.9645668)"
2008,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bambu Cafe,170,144.9708344,-37.81560645,"(-37.81560645, 144.9708344)"
2011,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Jwow Bar,100,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2003,33,105937,105937,435-443 Little Collins Street,Melbourne (CBD),The Kitchen Restaurant,200,144.9600859,-37.81638558,"(-37.81638558, 144.9600859)"
2003,355,105636,105636,46-50 Leveson Street,North Melbourne,The Leveson,400,144.9514591,-37.80370014,"(-37.80370014, 144.9514591)"
2008,362,103239,103239,547-549 Elizabeth Street,North Melbourne,Music Box  - Karaoke Bar,150,144.9584784,-37.80538132,"(-37.80538132, 144.9584784)"
2013,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter ,290,144.9705847,-37.81393777,"(-37.81393777, 144.9705847)"
2016,16,104020,104020,150-162 Flinders Street,Melbourne (CBD),Forum Theatre Bar,1500,144.9693866,-37.81648541,"(-37.81648541, 144.9693866)"
2011,74,108103,108103,244-250 Queen Street,Melbourne (CBD),Shamiana,200,144.959964,-37.81269018,"(-37.81269018, 144.959964)"
2013,105,103301,103301,442-450 Elizabeth Street,Melbourne (CBD),Fluid Oz Bar ,365,144.9608588,-37.8083077,"(-37.8083077, 144.9608588)"
2011,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Fashion Lounge,350,144.9705132,-37.81567009,"(-37.81567009, 144.9705132)"
2011,27,597183,102071,121-131 Collins Street,Melbourne (CBD),Spice Market,600,144.9698467,-37.81516811,"(-37.81516811, 144.9698467)"
2011,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,350,144.9656988,-37.80619915,"(-37.80619915, 144.9656988)"
2003,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Lounge,280,144.9630575,-37.81814578,"(-37.81814578, 144.9630575)"
2008,803,111175,110477,8 Whiteman Street,Southbank,Fusion ,600,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2013,46,109413,109413,146 Swanston Street,Melbourne (CBD),Cabinet Bar ,90,144.9662039,-37.81417648,"(-37.81417648, 144.9662039)"
2013,55,101193,101193,338-352 Bourke Street,Melbourne (CBD),Alto Events,400,144.9632879,-37.81360425,"(-37.81360425, 144.9632879)"
2011,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,200,144.9670522,-37.80245924,"(-37.80245924, 144.9670522)"
2011,214,106186,106186,414-422 Lygon Street,Carlton,Percys Bar & Bistro,120,144.9678126,-37.79694555,"(-37.79694555, 144.9678126)"
2011,2391,616966,616966,2 Boundary Road,North Melbourne,Vodka Locka & Red Leaf Restaurant,40,144.9392333,-37.79531826,"(-37.79531826, 144.9392333)"
2013,46,111394,111394,16-30 Russell Place,Melbourne (CBD),Bar Ampere,60,144.9674275,-37.81355434,"(-37.81355434, 144.9674275)"
2003,87,108565,108565,312-318 Russell Street,Melbourne (CBD),Kivotos Cafe Bar,250,144.9668166,-37.80932575,"(-37.80932575, 144.9668166)"
2013,107,108561,108561,50-58 MacKenzie Street,Melbourne (CBD),Blue Moon Bar,200,144.9660836,-37.80749583,"(-37.80749583, 144.9660836)"
2011,14,103165,103165,1-5 Elizabeth Street,Melbourne (CBD),Dreams Gentleman's Club,160,144.964608,-37.81805666,"(-37.81805666, 144.964608)"
2011,33,105933,105933,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,144.9605354,-37.8162542,"(-37.8162542, 144.9605354)"
2011,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,527,144.9605409,-37.81549904,"(-37.81549904, 144.9605409)"
2011,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Lounge,500,144.9630575,-37.81814578,"(-37.81814578, 144.9630575)"
2016,54,104653,104653,21-25 Hardware Lane,Melbourne (CBD),Campari House,326,144.9613142,-37.81409153,"(-37.81409153, 144.9613142)"
2016,14,104003,104003,2-8 Queen Street,Melbourne (CBD),Candela Nuevo,300,144.9627098,-37.81858716,"(-37.81858716, 144.9627098)"
2016,16,103938,103938,187 Flinders Lane,Melbourne (CBD),Mon Bijou,180,144.9683751,-37.81635789,"(-37.81635789, 144.9683751)"
2011,227,576967,576967,184 Rathdowne Street,Carlton,Rathdowne Tavern ,140,144.9712295,-37.79476659,"(-37.79476659, 144.9712295)"
2011,46,109413,109413,146 Swanston Street,Melbourne (CBD),Cabinet Bar ,90,144.9662039,-37.81417648,"(-37.81417648, 144.9662039)"
2011,55,101193,101193,338-352 Bourke Street,Melbourne (CBD),Alto Events,400,144.9632879,-37.81360425,"(-37.81360425, 144.9632879)"
2012,63,105867,105867,428-432 Little Bourke Street,Melbourne (CBD),DANSK Restaurant,100,144.9597229,-37.81392392,"(-37.81392392, 144.9597229)"
2012,419,108876,108876,573-579 Spencer Street,West Melbourne (Residential),McMahons,160,144.9469867,-37.80740767,"(-37.80740767, 144.9469867)"
2011,16,103938,103938,187 Flinders Lane,Melbourne (CBD),The Adelphi Hotel,80,144.9683751,-37.81635789,"(-37.81635789, 144.9683751)"
2011,57,101212,101212,152-158 Bourke Street,Melbourne (CBD),Roxanne Parlour,450,144.9685359,-37.81206119,"(-37.81206119, 144.9685359)"
2013,6,578327,573333,2 Swanston Street,Melbourne (CBD),Zinc at Federation Square,1000,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2013,33,102124,102124,430-442 Collins Street,Melbourne (CBD),The Brasilian Bean,80,144.9597623,-37.81703239,"(-37.81703239, 144.9597623)"
2013,41,105948,105948,582-584 Little Collins Street,Melbourne (CBD),Saint & Rogue,300,144.9553525,-37.81740928,"(-37.81740928, 144.9553525)"
2013,36,102152,102152,162-168 Collins Street,Melbourne (CBD),The Long Room,620,144.9678476,-37.81450301,"(-37.81450301, 144.9678476)"
2008,2530,616125,616125,25-27 Rankins Road,Kensington,Flemington & Kensington RSL Club,90,144.9321953,-37.78932218,"(-37.78932218, 144.9321953)"
2011,66,108550,108550,213-217 Russell Street,Melbourne (CBD),Guandi Lounge & Bar,100,144.9672365,-37.81156167,"(-37.81156167, 144.9672365)"
2011,61,105716,105716,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,144.9544951,-37.81491898,"(-37.81491898, 144.9544951)"
2011,96,606638,105490,124 La Trobe Street,Melbourne (CBD),Pearson and Murph'y Cafe,156,144.9645504,-37.80818365,"(-37.80818365, 144.9645504)"
2011,87,108568,108568,296-298 Russell Street,Melbourne (CBD),Ice Lounge & Ski Lounge,152,144.9669287,-37.80957196,"(-37.80957196, 144.9669287)"
2011,217,103102,103102,171-175 Elgin Street,Carlton,Pugg Mahones,500,144.9687079,-37.79750574,"(-37.79750574, 144.9687079)"
2016,215,108202,108202,415-421 Rathdowne Street,Carlton,The Beaufort,50,144.9704262,-37.79652005,"(-37.79652005, 144.9704262)"
2011,87,108567,108567,300 Russell Street,Melbourne (CBD),Jankara Japanese Bar,80,144.966904,-37.80951668,"(-37.80951668, 144.966904)"
2013,11,103984,103984,566-580 Flinders Street,Melbourne (CBD),All Nations Backpackers Bar,98,144.9553465,-37.82072034,"(-37.82072034, 144.9553465)"
2013,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,527,144.9605409,-37.81549904,"(-37.81549904, 144.9605409)"
2011,17,103921,103921,91-93 Flinders Lane,Melbourne (CBD),Papa Goose,440,144.9712228,-37.81543506,"(-37.81543506, 144.9712228)"
2003,14,103951,103951,341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,200,144.9630313,-37.81782313,"(-37.81782313, 144.9630313)"
2012,12,103994,103994,502-504 Flinders Street,Melbourne (CBD),Insignia on Flinders,100,144.9576571,-37.82005619,"(-37.82005619, 144.9576571)"
2011,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bisq Bar & Grill,170,144.9708344,-37.81560645,"(-37.81560645, 144.9708344)"
2011,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,301,144.9667699,-37.80344164,"(-37.80344164, 144.9667699)"
2011,801,559161,559161,3-7 Riverside Quay,Southbank,Eureka 89,150,144.9645668,-37.82166549,"(-37.82166549, 144.9645668)"
2011,803,111175,110477,8 Whiteman Street,Southbank,Number 8,200,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,803,111175,110477,8 Whiteman Street,Southbank,The Atlantic,508,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,63,105867,105867,428-432 Little Bourke Street,Melbourne (CBD),Chaplin Karaoke Bar,90,144.9597229,-37.81392392,"(-37.81392392, 144.9597229)"
2011,33,102131,110666,394 Collins Street,Melbourne (CBD),Treasury Restaurant,250,144.9610454,-37.81666775,"(-37.81666775, 144.9610454)"
2011,85,109304,109304,301-303 Swanston Street,Melbourne (CBD),Sahara Restaurant,140,144.9641938,-37.81107765,"(-37.81107765, 144.9641938)"
2011,56,108538,108538,163-169 Russell Street,Melbourne (CBD),Syn Bar,350,144.9676479,-37.81246709,"(-37.81246709, 144.9676479)"
2013,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Lounge,500,144.9630575,-37.81814578,"(-37.81814578, 144.9630575)"
2011,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Miss Libertine @ Mac's Hotel ,355,144.9616126,-37.80752292,"(-37.80752292, 144.9616126)"
2011,78,110721,580091,33-39 Little Lonsdale Street,Melbourne (CBD),Oddfellows Hotel,400,144.9707325,-37.8091842,"(-37.8091842, 144.9707325)"
2013,64,104665,104665,68-78 Hardware Lane,Melbourne (CBD),Pop,280,144.9611061,-37.8130703,"(-37.8130703, 144.9611061)"
2013,66,105878,105878,242-244 Little Bourke Street,Melbourne (CBD),NG Karaoke Bar,334,144.965603,-37.81213633,"(-37.81213633, 144.965603)"
2011,17,103922,103922,95-101 Flinders Lane,Melbourne (CBD),Rosati Restaurant,840,144.9711039,-37.81553247,"(-37.81553247, 144.9711039)"
2011,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Blue Diamond,200,144.9606367,-37.81581152,"(-37.81581152, 144.9606367)"
2011,613,595153,109643,166 Albert Street,East Melbourne,Cohen Cellars Wine Bar,40,144.9856254,-37.81004657,"(-37.81004657, 144.9856254)"
2002,57,101216,101216,21-25 Croft Alley,Melbourne (CBD),The Croft Institute,250,144.9690881,-37.81206249,"(-37.81206249, 144.9690881)"
2013,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transport Hotel,600,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2013,6,578324,573333,2 Swanston Street,Melbourne (CBD),Transit Cocktail Lounge,200,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2011,801,110335,110335,1-9 Southbank Boulevard,Southbank,Left Bank Melbourne,400,144.9628914,-37.8210403,"(-37.8210403, 144.9628914)"
2011,67,105675,105675,113 Lonsdale Street,Melbourne (CBD),Seamstress,160,144.9690111,-37.81056538,"(-37.81056538, 144.9690111)"
